Model Name,Price,CC,Mileage,Weight,Links
Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
Royal Enfield Himalayan,"₹ 2,10,784",411.0 CC,45 Km/l,191 Kg,https://www.carandbike.com/royal-enfield-bikes/himalayan
Royal Enfield Classic Chrome,"₹ 1,88,868",499.0 CC,27 Km/l,194 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-chrome
Royal Enfield Meteor 350,"₹ 2,05,844",349.0 CC,41.88 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/meteor-350
Royal Enfield Bullet 350,"₹ 1,27,094",346.0 CC,45 Km/l,183 Kg,https://www.carandbike.com/royal-enfield-bikes/bullet-350
Hero Splendor +,"₹ 69,380",97.2 CC,70 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/splendor-plus
Honda CB Shine,"₹ 72,787",124.7 CC,65 Km/l,114 Kg,https://www.carandbike.com/honda-bikes/cb-shine
Honda Activa 6G,"₹ 69,645",109.5 CC,45 Km/l,107 Kg,https://www.carandbike.com/honda-bikes/activa-6g
Royal Enfield Classic 350,"₹ 1,84,374",349.0 CC,37 Km/l,195 Kg,https://www.carandbike.com/royal-enfield-bikes/classic-350
Yamaha MT-15,"₹ 1,44,900",155.0 CC,48 Km/l,138 Kg,https://www.carandbike.com/yamaha-bikes/mt-15
Honda Dio,"₹ 64,510",109.5 CC,55 Km/l,103 Kg,https://www.carandbike.com/honda-bikes/dio
Honda SP 125,"₹ 78,381",124.0 CC,65 Km/l,117 Kg,https://www.carandbike.com/honda-bikes/sp-125
Hero HF Deluxe,"₹ 48,950",97.2 CC,83 Km/l,109 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe
Bajaj Pulsar 150,"₹ 95,872",149.5 CC,65 Km/l,144 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-150
Hero Super Splendor,"₹ 73,900",124.7 CC,60 Km/l,123 Kg,https://www.carandbike.com/hero-bikes/super-splendor
Bajaj Pulsar 125,"₹ 72,122",124.4 CC,62 Km/l,140 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-125
Yamaha FZ S V3.0 FI,"₹ 1,15,900",149.0 CC,45 Km/l,135 Kg,https://www.carandbike.com/yamaha-bikes/fz-s-v30-fi
Bajaj Pulsar 220,"₹ 1,23,245",220.0 CC,40 Km/l,155 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-220
Bajaj Pulsar NS 125,"₹ 93,818",124.4 CC,N/A,144 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-ns-125
Hero Passion Pro i3S,"₹ 67,400",113.2 CC,84 Km/l,117 Kg,https://www.carandbike.com/hero-bikes/passion-pro-i3s
KTM RC 125,"₹ 1,80,538",124.7 CC,41.3 Km/l,135 Kg,https://www.carandbike.com/ktm-bikes/rc-125
Honda CB Unicorn 160,"₹ 98,931",162.7 CC,62 Km/l,134 Kg,https://www.carandbike.com/honda-bikes/cb-unicorn-160
Yamaha MT-15 V2.0,"₹ 1,60,900",155.0 CC,48 Km/l,139 Kg,https://www.carandbike.com/yamaha-bikes/mt-15-v20
Yamaha R15 V3.0,"₹ 1,57,600",155.0 CC,30 Km/l,142 Kg,https://www.carandbike.com/yamaha-bikes/r15-v30
Hero Pleasure + 110,"₹ 61,900",110.9 CC,69 Km/l,104 Kg,https://www.carandbike.com/hero-bikes/pleasure-plus-110
Hero HF Deluxe i3s,"₹ 59,800",97.2 CC,88.5 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/hf-deluxe-i3s
Hero Xtreme 160R,"₹ 1,11,610",163.0 CC,55 Km/l,139 Kg,https://www.carandbike.com/hero-bikes/xtreme-160r
Hero Glamour 125,"₹ 74,900",124.7 CC,60 Km/l,126 Kg,https://www.carandbike.com/hero-bikes/glamour-125
Hero XPulse 200 4V,"₹ 1,30,150",199.6 CC,N/A,158 Kg,https://www.carandbike.com/hero-bikes/xpulse-200-4v
Hero Maestro Edge,"₹ 65,900",110.9 CC,65 Km/l,112 Kg,https://www.carandbike.com/hero-bikes/maestro-edge
Royal Enfield Continental GT 650,"₹ 2,98,079",648.0 CC,25.5 Km/l,198 Kg,https://www.carandbike.com/royal-enfield-bikes/continental-gt-650
Revolt RV400,"₹ 1,29,463",NA,150 Km/Full Charge,108 Kg,https://www.carandbike.com/revolt-bikes/rv400
Hero Splendor Pro,"₹ 49,598",97.2 CC,65 Km/l,112 Kg,https://www.carandbike.com/hero-bikes/splendor-pro
Royal Enfield Scram 411,"₹ 2,03,000",411.0 CC,N/A,185 Kg,https://www.carandbike.com/royal-enfield-bikes/scram-411
Kawasaki Ninja H2R,"₹ 79,90,000",998.0 CC,15 Km/l,216 Kg,https://www.carandbike.com/kawasaki-bikes/ninja-h2r
Hero Xtreme 200S,"₹ 1,20,214",199.6 CC,36.9 Km/l,155 Kg,https://www.carandbike.com/hero-bikes/xtreme-200s
Hero Splendor iSmart,"₹ 65,950",113.2 CC,75 Km/l,116 Kg,https://www.carandbike.com/hero-bikes/splendor-ismart
Hero XPulse 200,"₹ 1,18,230",199.6 CC,42 Km/l,157 Kg,https://www.carandbike.com/hero-bikes/xpulse-200
TVS XL 100,"₹ 40,990",99.7 CC,67 Km/l,88 Kg,https://www.carandbike.com/tvs-bikes/xl-100
Hero XPulse 200T,"₹ 1,15,800",199.6 CC,43 Km/l,154 Kg,https://www.carandbike.com/hero-bikes/xpulse-200t
Royal Enfield Interceptor 650,"₹ 2,81,518",648.0 CC,25.5 Km/l,202 Kg,https://www.carandbike.com/royal-enfield-bikes/interceptor-650
Hero Maestro Edge 125,"₹ 73,450",124.6 CC,49 Km/l,110 Kg,https://www.carandbike.com/hero-bikes/maestro-edge-125
TVS Raider,"₹ 84,573",124.8 CC,67 Km/l,123 Kg,https://www.carandbike.com/tvs-bikes/raider
Yamaha YZF R15 V4.0,"₹ 1,70,800",155.0 CC,45 Km/l,142 Kg,https://www.carandbike.com/yamaha-bikes/yzf-r15-v40
Yamaha YZF R1,"₹ 20,39,233",998.0 CC,20 Km/l,200 Kg,https://www.carandbike.com/yamaha-bikes/yzf-r1
Honda CD 110 Dream,"₹ 65,248",109.5 CC,74 Km/l,109 Kg,https://www.carandbike.com/honda-bikes/cd-110-dream
Bajaj Platina 110,"₹ 65,930",115.0 CC,80 Km/l,108 Kg,https://www.carandbike.com/bajaj-bikes/platina-110
Bajaj Pulsar 200 NS,"₹ 1,31,219",199.5 CC,35 Km/l,152 Kg,https://www.carandbike.com/bajaj-bikes/pulsar-200-ns
TVS Apache RTR 160,"₹ 1,12,940",159.7 CC,48 Km/l,139 Kg,https://www.carandbike.com/tvs-bikes/apache-rtr-160
Honda Hornet 2.0,"₹ 1,32,238",184.4 CC,40 Km/l,142 Kg,https://www.carandbike.com/honda-bikes/hornet-20
KTM RC 200,"₹ 2,13,000",199.5 CC,35 Km/l,151 Kg,https://www.carandbike.com/ktm-bikes/rc-200
Bajaj Platina 100,"₹ 52,915",102.0 CC,96.9 Km/l,117 Kg,https://www.carandbike.com/bajaj-bikes/platina-100
Suzuki Gixxer SF,"₹ 1,29,300",154.9 CC,47 Km/l,146 Kg,https://www.carandbike.com/suzuki-bikes/gixxer-sf
TVS Jupiter,"₹ 70,085",109.7 CC,62 Km/l,109 Kg,https://www.carandbike.com/tvs-bikes/jupiter
Yamaha Aerox 155,"₹ 1,29,000",155.0 CC,N/A,122 Kg,https://www.carandbike.com/yamaha-bikes/aerox-155
